,timestamp,value
0,2022-07-30 18:43:44.461111,37242.0
1,2022-07-30 18:43:46.664195,36773.0
2,2022-07-30 18:43:50.703769,36521.0
3,2022-07-30 18:43:53.938525,39424.0
4,2022-07-30 18:43:56.906390,36279.0
5,2022-07-30 18:43:59.258379,35005.0
6,2022-07-30 18:44:02.393342,39133.0
7,2022-07-30 18:44:06.340516,35135.0
8,2022-07-30 18:44:08.705187,35005.0
9,2022-07-30 18:44:11.718557,34760.0
10,2022-07-30 18:44:14.874943,37116.0
11,2022-07-30 18:44:17.130113,37630.0
12,2022-07-30 18:44:20.433379,38735.0
13,2022-07-30 18:44:23.465304,35610.0
14,2022-07-30 18:44:25.794148,36618.0
15,2022-07-30 18:44:27.876449,38223.0
16,2022-07-30 18:44:30.002199,39684.0
17,2022-07-30 18:44:33.139221,36529.0
18,2022-07-30 18:44:36.324340,36305.0
19,2022-07-30 18:44:37.788006,38722.0
20,2022-07-30 18:44:40.119967,35205.0
21,2022-07-30 18:44:41.412386,37641.0
22,2022-07-30 18:44:42.693182,38725.0
23,2022-07-30 18:44:45.892496,35781.0
24,2022-07-30 18:44:48.157048,35633.0
25,2022-07-30 18:44:49.433584,38540.0
26,2022-07-30 18:44:50.739855,35856.0
27,2022-07-30 18:44:52.865750,37713.0
28,2022-07-30 18:44:56.070884,35899.0
29,2022-07-30 18:44:58.231483,34743.0
30,2022-07-30 18:45:00.476086,35699.0
31,2022-07-30 18:45:02.678969,37844.0
32,2022-07-30 18:45:04.009232,34497.0
33,2022-07-30 18:45:06.407252,35652.0
34,2022-07-30 18:45:08.506804,39029.0
35,2022-07-30 18:45:10.706195,36356.0
36,2022-07-30 18:45:12.808862,38332.0
37,2022-07-30 18:45:15.848284,38346.0
38,2022-07-30 18:45:18.998791,38208.0
39,2022-07-30 18:45:21.999663,37472.0
40,2022-07-30 18:45:25.034778,36918.0
41,2022-07-30 18:45:28.014171,37487.0
42,2022-07-30 18:45:31.151644,38554.0
43,2022-07-30 18:45:34.207103,38684.0
44,2022-07-30 18:45:36.482217,36154.0
45,2022-07-30 18:45:39.695587,39678.0
46,2022-07-30 18:45:42.888493,36780.0
47,2022-07-30 18:45:45.846618,38671.0
48,2022-07-30 18:45:49.097729,34751.0
49,2022-07-30 18:45:52.911862,37596.0
50,2022-07-30 18:45:55.964661,36428.0
51,2022-07-30 18:45:59.190052,36309.0
52,2022-07-30 18:46:02.198170,37061.0
53,2022-07-30 18:46:05.353546,39325.0
54,2022-07-30 18:46:07.528235,36252.0
55,2022-07-30 18:46:10.899601,39824.0
56,2022-07-30 18:46:13.959381,38801.0
57,2022-07-30 18:46:16.936335,38548.0
58,2022-07-30 18:46:19.089890,35394.0
59,2022-07-30 18:46:21.226973,34719.0
60,2022-07-30 18:46:25.216824,34487.0
