date,sentiment,topic,sentiment_avg
2022-07-07,-0.794172288,VALORANT,-0.794172288
2022-07-08,-0.312732484,MULTIVERSUS,-0.312732484
2022-07-09,0,MULTIVERSUS,0
2022-07-10,0,MULTIVERSUS,0
2022-07-11,0.681060915,MULTIVERSUS,0.681060915
2022-07-12,-0.047053114,MULTIVERSUS,-0.047053114
2022-07-13,0.270696876,MULTIVERSUS,0.270696876
2022-07-14,0.454726637,MULTIVERSUS,0.454726637
2022-07-15,0,MULTIVERSUS,0
2022-07-16,0,MULTIVERSUS,0
2022-07-17,-0.423123548,MULTIVERSUS,-0.423123548
2022-07-18,0.214799505,MULTIVERSUS,0.214799505
2022-07-19,0.730011071,MULTIVERSUS,0.730011071
2022-07-20,0.9,MULTIVERSUS,0.9
2022-07-21,0.92712261,MULTIVERSUS,0.92712261
2022-07-22,0.170985916,MULTIVERSUS,0.170985916
2022-07-23,-0.63785404,MULTIVERSUS,-0.63785404
2022-07-24,-0.735134786,MULTIVERSUS,-0.735134786
2022-07-25,0.819312809,MULTIVERSUS,0.819312809
2022-07-26,-0.31380592,MULTIVERSUS,-0.31380592
2022-07-27,0.555853612,MULTIVERSUS,0.555853612
2022-07-28,-0.428241523,MULTIVERSUS,-0.428241523
2022-07-29,-0.829855315,MULTIVERSUS,-0.829855315
2022-07-30,0,MULTIVERSUS,0
